Neighborhood,City,State,2019w
Roslindale,Boston,MA,1700
Jamaica Plain,Boston,MA,1850
Mission Hill,Boston,MA,2100
Longwood,Boston,MA,2300
Bay Village,Boston,MA,2700
Leather District,Boston,MA,3000
Chinatown,Boston,MA,3000
North End,Boston,MA,2300
Roxbury,Boston,MA,1780
South End,Boston,MA,2700
Back Bay,Boston,MA,2900
East Boston,Boston,MA,1800
Charlestown,Boston,MA,2600
West End,Boston,MA,2915
Beacon Hill,Boston,MA,2400
Downtown,Boston,MA,3050
Fenway,Boston,MA,2450
Brighton,Boston,MA,1850
West Roxbury,Boston,MA,1810
Hyde Park,Boston,MA,1625
Mattapan,Boston,MA,1500
Dorchester,Boston,MA,1875
South Boston Waterfront,Boston,MA,3000
South Boston,Boston,MA,2800
Allston,Boston,MA,1950
